"idx","group_code","code","code_name","code_name_en","description","use_yn","sort_order","created_at","created_user_idx","updated_at","updated_user_idx"
36,C08,C0803,책임연구원,PRINCIPAL_RESEARCHER,,Y,3,2025-10-24 15:21:00.600,,2025-10-24 15:21:00.600,
37,C08,C0804,수석연구원,CHIEF_RESEARCHER,,Y,4,2025-10-24 15:21:00.600,,2025-10-24 15:21:00.600,
38,C08,C0805,연구소장,INSTITUTE_DIRECTOR,,Y,5,2025-10-24 15:21:00.600,,2025-10-24 15:21:00.600,
1,C01,C0101,기획관리부,PLANNING,,Y,1,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
2,C01,C0102,컨설팅사업부,CONSULT,,Y,2,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
3,C01,C0103,스마트시티사업부,SMART_CITY,,Y,3,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
4,C01,C0104,기술연구소,R_AND_D,,Y,4,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
13,C03,C0301,연차,ANNUAL,,Y,1,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
14,C03,C0302,반차(오전),HALF_AM,,Y,2,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
15,C03,C0303,반차(오후),HALF_PM,,Y,3,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
16,C03,C0304,병가,SICK,,Y,4,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
17,C03,C0305,경조사,FAMILY,,Y,5,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
18,C04,C0401,연차신청서,VACATION,,Y,1,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
19,C04,C0402,지출결의서,EXPENSE,,Y,2,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
20,C04,C0403,구매품의서,PURCHASE,,Y,3,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
21,C04,C0404,출장신청서,BUSINESS_TRIP,,Y,4,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
22,C05,C0501,작성완료,COMPLETED,,Y,1,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
23,C05,C0502,대기,PENDING,,Y,2,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
24,C05,C0503,승인요청,APPROVAL_REQUESTED,,Y,3,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
25,C05,C0504,승인,APPROVED,,Y,4,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
26,C05,C0505,반려,REJECTED,,Y,5,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
27,C06,C0601,정규직,FULL_TIME,,Y,1,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
28,C06,C0602,계약직,CONTRACT,,Y,2,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
29,C06,C0603,인턴,INTERN,,Y,3,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
30,C06,C0604,프리랜서,FREELANCE,,Y,4,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
31,C07,C0701,재직,ACTIVE,,Y,1,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
32,C07,C0702,휴직,LEAVE,,Y,2,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
33,C07,C0703,퇴사,RESIGNED,,Y,3,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
34,C08,C0801,연구원,RESEARCHER,,Y,1,2025-10-24 15:21:00.600,,2025-10-24 15:21:00.600,
35,C08,C0802,선임연구원,SENIOR_RESEARCHER,,Y,2,2025-10-24 15:21:00.600,,2025-10-24 15:21:00.600,
43,C09,DEPT_DIVISION,본부,Division,본부급 부서,Y,1,2025-11-10 16:14:36.852,,2025-11-10 16:14:36.852,
44,C09,DEPT_TEAM,팀,Team,팀급 부서,Y,2,2025-11-10 16:14:36.852,,2025-11-10 16:14:36.852,
45,C09,DEPT_PART,파트,Part,파트급 부서,Y,3,2025-11-10 16:14:36.852,,2025-11-10 16:14:36.852,
46,C09,DEPT_GROUP,그룹,Group,그룹급 부서,Y,4,2025-11-10 16:14:36.852,,2025-11-10 16:14:36.852,
12,C02,C0201,대표이사,CEO,,Y,1,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
5,C02,C0208,사원,STAFF,,Y,8,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
9,C02,C0204,부장,DIRECTOR,,Y,4,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
10,C02,C0203,이사,EXECUTIVE,,Y,3,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
11,C02,C0202,상무,SENIOR_EXEC,,Y,2,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
6,C02,C0207,대리,ASSISTANT,,Y,7,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
7,C02,C0206,과장,MANAGER,,Y,6,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
8,C02,C0205,차장,SENIOR_MANAGER,,Y,5,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
